,Pub.Priv,Year,Ave.Act,Num.33-36,Num.28-32,Num.24-27,Num.19-23,Num.17-18,Num.1-16,Num.NA,Num.Tot,Pct.33-36,Pct.28-32,Pct.24-27,Pct.19-23,Pct.17-18,Pct.1-16,Pct.NA,Pct.Tot
UMR,Public,2006,27.1,51,360,314,146,6,1,84,962,0.053014553014553,0.374220374220374,0.326403326403326,0.151767151767152,0.006237006237006,0.001039501039501,0.087318087318087,1
UMSL,Public,2006,22.9,4,51,150,225,46,10,39,525,0.007619047619048,0.097142857142857,0.285714285714286,0.428571428571429,0.087619047619048,0.019047619047619,0.074285714285714,1
AVILA,Private,2006,21,1,7,23,68,24,8,7,138,0.007246376811594,0.05072463768116,0.166666666666667,0.492753623188406,0.173913043478261,0.057971014492754,0.05072463768116,1
CENTRAL METHODIST - CLAS,Private,2006,21,0,8,31,114,34,10,15,212,0,0.037735849056604,0.14622641509434,0.537735849056604,0.160377358490566,0.047169811320755,0.070754716981132,1
COLLEGE OF THE OZARKS,Private,2006,22.5,1,20,78,149,20,5,3,276,0.003623188405797,0.072463768115942,0.282608695652174,0.539855072463768,0.072463768115942,0.018115942028986,0.010869565217391,1
COLUMBIA,Private,2006,22.5,1,15,47,76,15,9,28,191,0.005235602094241,0.078534031413613,0.246073298429319,0.397905759162304,0.078534031413613,0.047120418848168,0.146596858638743,1
CULVER-STOCKTON,Private,2006,21,0,12,33,106,53,6,2,212,0,0.056603773584906,0.155660377358491,0.5,0.25,0.028301886792453,0.009433962264151,1
DRURY,Private,2006,25,2,84,94,102,62,14,269,627,0.003189792663477,0.133971291866029,0.149920255183413,0.162679425837321,0.098883572567783,0.022328548644338,0.42902711323764,1
EVANGEL,Private,2006,22.7,3,38,99,144,38,10,0,332,0.009036144578313,0.114457831325301,0.298192771084337,0.433734939759036,0.114457831325301,0.030120481927711,0,1
FONTBONNE,Private,2006,20.9,0,8,33,79,32,15,23,190,0,0.042105263157895,0.173684210526316,0.415789473684211,0.168421052631579,0.078947368421053,0.121052631578947,1
HANNIBAL- LAGRANGE,Private,2006,21,0,7,26,67,18,5,8,131,0,0.053435114503817,0.198473282442748,0.511450381679389,0.137404580152672,0.038167938931298,0.061068702290076,1
LINDENWOOD,Private,2006,21.6,2,42,141,404,101,25,225,940,0.002127659574468,0.04468085106383,0.15,0.429787234042553,0.107446808510638,0.026595744680851,0.23936170212766,1
MARYVILLE,Private,2006,24,1,45,115,120,5,0,21,307,0.003257328990228,0.146579804560261,0.374592833876221,0.390879478827362,0.01628664495114,0,0.068403908794788,1
MISSOURI BAPTIST,Private,2006,21.7,0,12,35,74,26,6,42,195,0,0.061538461538462,0.179487179487179,0.379487179487179,0.133333333333333,0.030769230769231,0.215384615384615,1
MISSOURI VALLEY,Private,2006,19.3,0,5,24,139,81,51,75,375,0,0.013333333333333,0.064,0.370666666666667,0.216,0.136,0.2,1
PARK,Private,2006,22.4,0,17,38,62,16,8,53,194,0,0.087628865979382,0.195876288659794,0.319587628865979,0.082474226804124,0.041237113402062,0.27319587628866,1
ROCKHURST,Private,2006,24.5,2,88,122,153,12,1,18,396,0.005050505050505,0.222222222222222,0.308080808080808,0.386363636363636,0.03030303030303,0.002525252525253,0.045454545454546,1
SAINT LOUIS,Private,2006,26.1,33,469,547,291,21,0,210,1571,0.021005728835137,0.298535964353915,0.348185868873329,0.185232336091661,0.013367281985996,0,0.133672819859962,1
SOUTHWEST BAPTIST,Private,2006,23.1,2,65,134,165,35,30,28,459,0.004357298474946,0.14161220043573,0.291938997821351,0.359477124183006,0.076252723311547,0.065359477124183,0.061002178649238,1
STEPHENS,Private,2006,22.4,1,17,50,93,20,7,37,225,0.004444444444444,0.075555555555556,0.222222222222222,0.413333333333333,0.088888888888889,0.031111111111111,0.164444444444444,1
WASHINGTON ,Private,2006,31.6,306,436,46,2,0,0,680,1470,0.208163265306122,0.296598639455782,0.031292517006803,0.001360544217687,0,0,0.462585034013605,1
WEBSTER,Private,2006,24,3,69,124,151,25,6,51,429,0.006993006993007,0.160839160839161,0.289044289044289,0.351981351981352,0.058275058275058,0.013986013986014,0.118881118881119,1
WESTMINSTER,Private,2006,24.3,2,42,75,88,6,1,65,279,0.007168458781362,0.150537634408602,0.268817204301075,0.315412186379928,0.021505376344086,0.003584229390681,0.232974910394265,1
WILLIAM JEWELL,Private,2006,25,5,65,81,87,6,0,7,251,0.0199203187251,0.258964143426295,0.322709163346614,0.346613545816733,0.02390438247012,0,0.02788844621514,1
